# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
37,2024,Feb,review,corresponding,infectious;pubhealth,"Serosurvey of Anti-Rubella and Anti-Measles IgG Antibodies in Young Females in Jahrom, Southern West Iran: A Review of Literature of the Serological Profile in Iran","Mojarad N, Forouzani F, Mohammadi Z*, Shahriarirad R*",Journal of General and Family Medicine,https://onlinelibrary.wiley.com/doi/10.1002/jgf2.677,Translational research;Infectious disease;Public health;Systematic review,infectious;pubhealth,
38,2024,Feb,original,,gi,"Comparison of Hand-sewn Anterior Repair, Resection and Hand-sewn Anastomosis, Resection and Stapled Anastomosis Techniques for the Reversal of Diverting Loop Ileostomy: A Randomized Clinical Trial","Meshkati Yazd SM, Shahriarirad R, Keramati MR, Omidi M, Nabavizadeh SS, Keshvari A*",Techniques in Coloproctology,https://link.springer.com/article/10.1007/s10151-023-02898-9,Gastrointestinal surgery;Randomized trial,gi,
39,2024,Feb,original,,infectious;pubhealth,High Post-Infection Protection after COVID-19 among Healthcare Workers: A Population-Level Observational Study,"Shahriarirad S, Asmarian N, Shahriarirad R, Moghadami M, Askarian M, Malekhosseini SA, Sabetian G*",Iranian Journal of Medical Sciences,https://ijms.sums.ac.ir/article_49872.html,Infectious disease;Public health;COVID-19,infectious;pubhealth,
40,2024,Jan,original,,gi;education,Novel Textbook Outcomes following Emergency Laparotomy: Delphi Exercise,"Naumann D*, Bhangu A, Brooks A, BEACON Collaborative (including Shahriarirad R)",BJS Open,https://academic.oup.com/bjsopen/article/8/1/zrad145/7589246,Gastrointestinal surgery;Medical education,gi;education,
41,2024,Jan,original,corresponding,infectious;pubhealth;health_systems,The Trend of Mortality Rates Following Hospitals Downgrading and Closures due to Outbreak of COVID-19 in Fars Province: A Comparative Cohort Study,"Fallahi MJ, Seifbehzad S, Fereidooni M, Farrokhi AM, Ranjbar K, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.1850,Infectious disease;Public health;Health systems;COVID-19,infectious;pubhealth,
42,2024,Jan,original,first;corresponding,oncology;machine_learning,Prediction of Sentinel Lymph Node Metastasis in Breast Cancer Patients Based on Preoperative Features: A Deep Machine Learning Approach,"Shahriarirad R, Meshkati Yazd SM, Fathian R, Fallahi M, Ghadiani Z, Nafissi N*",Scientific Reports,https://www.nature.com/articles/s41598-024-51244-y,Surgical oncology;Machine learning;Breast reconstruction;Breast cancer,oncology;machine_learning,yes
43,2024,Jan,original,,derm;pubhealth;education,"Practice and Attitude of General Practitioners Towards Initiating Isotretinoin for Acne Vulgaris in Fars Province, Iran","Hosseinpour P*, Gholamabbas G, Pezeshkian F, Erfani A, Shahriarirad R, Parhizkar AR",BMC Primary Care,https://bmcprimcare.biomedcentral.com/articles/10.1186/s12875-023-02260-w,Knowledge attitudes practice;Dermatology;Public health;Medical education,derm;pubhealth,
44,2023,Dec,original,co-first,thoracic;infectious,Demographic and Clinical Features of Patients Operated with the Diagnosis of Acute Descending Necrotizing Mediastinitis: A Retrospective Study in Southern Iran,"Ranjbar K, Shahriarirad R, Ebrahimi K, Amirian A, Karoobi MR, Mardani P, Erfani A, Fallahi MJ, Ketabchi F, Ziaian B*",BMC Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-023-02416-w,Thoracic surgery;Infectious disease,thoracic;infectious,
45,2023,Nov,original,corresponding,infectious;urology,Antibiotic Resistance Pattern Among Isolated Bacteria from Urinary Tract Infection Patients in the Intensive Care Unit,"Forouzani F, Sharifi A, Mojarad N, Mohammadi Z, Shahriarirad R*",Journal of Medical Bacteriology,https://jmb.tums.ac.ir/index.php/jmb/article/view/500,Infectious disease;Urology,infectious;urology,
46,2023,Nov,original,first,plastic;health_systems,Cohort Analysis of 50% Lethal Area (LA50) and Associating Factors in Burn Patients based on Quality Improvements and Health Policies,"Shahriarirad R, Shekouhi R, Nabavizadeh SS, Zardosht M, Tadayon SMK, Ahmadi M, Keshavarzi A*",Scientific Reports,https://www.nature.com/articles/s41598-023-45884-9,Plastic surgery;Health systems;Burns;Quality,plastic;health_systems,
47,2023,Sep,original,first;corresponding,gi,Protective Effect of Melissa Officinalis Against Acetic Acid-Induced Ulcerative Colitis in Rat Models,"Shahriarirad R*, Erfani A, Nekouei F, Seifbehzad S, Hosseinzadeh M, Sarkari B, Tanideh N, Koohi-Hosseinabadi O, Nassour N, Ashkani-Esfahani S",Annals of Gastroenterology,https://doi.org/10.20524/aog.2023.0836,Complementary medicine;Herbal medicine;Supplement;Regenerative medicine;Translational research;Gastrointestinal surgery,gi,
48,2023,Sep,original,,plastic,The Effect of a Preoperative Single Dose of Gabapentin on Emergence Agitation in Patients Undergoing Rhinoplasty: A Randomized Clinical Trial,"Hoghoughi MA, Jouybar R, Alvandi A, Shahriarirad R, Hosseinpour H, Ranjbar K, Kamran H*",European Journal of Plastic Surgery,https://link.springer.com/article/10.1007/s00238-023-02116-7,Plastic surgery;Randomized trial,plastic,
49,2023,Aug,original,first,infectious,Evaluation of the Features of Cystic Echinococcosis with Concurrent Super-infection: A Retrospective Study in Southern Iran,"Shahriarirad R, Shekouhi R, Erfani A, Rastegarian M, Eskandarisani M, Motamedi M, Sarkari B*",BMC Infectious Diseases,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-023-08520-5,Infectious disease,infectious,
50,2023,Aug,original,,infectious,"Resistance Pattern of Isolated Microorganisms from 783 Clinical Specimen Cultures in Patients Admitted to Yasuj Educational Hospitals, Iran","Forouzani F, Khasti T, Manzouri L, Ravangard S, Shahriarirad R, Jahed S, Gordafarin N*",BMC Microbiology,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-023-02952-4,Infectious disease;Medical education,infectious,
51,2023,Jul,original,first,thoracic;oncology,Hospital-based Retrospective Analysis of 224 Surgical Cases of Lung Hydatid Cyst from Southern Iran,"Shahriarirad R, Erfani A, Ebrahimi K, Rastegarian M, Eskandarisani M, Ziaian B, Sarkari B*",BMC Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-023-02327-w,Thoracic surgery;Surgical oncology;Lung cancer;Hydatid disease,thoracic;oncology,
